
                       Search, Julia Version

                 (c) Copyright Kenneth Lange, 2022


Title: test problem 1
Grid or search option: search
Minimize or maximize: minimize
 
Parameter minima and maxima:
 
    par 1       par 2   
 
    -Inf      -1.5000e+00 
     Inf         Inf      
 
iter  steps   function    par 1       par 2   
 
  1    0    9.0900e+02  -2.0000e+00  1.0000e+00 
 
  2    3    2.0632e+02   4.0600e-01  1.6000e+00 
 
  3    1    4.5050e+01   6.5591e-01  1.1005e+00 
 
  4    1    1.7129e-01   8.7447e-01  8.0413e-01 
 
  5    0    2.5936e-02   8.9234e-01  7.8429e-01 
 
  6    0    1.2478e-02   8.8832e-01  7.8889e-01 
 
  7    0    1.2461e-02   8.8844e-01  7.8894e-01 
 
  8    0    1.2389e-02   8.8876e-01  7.8951e-01 
 
  9    0    1.2036e-02   8.9036e-01  7.9236e-01 
 
 10    0    1.0376e-02   8.9823e-01  8.0639e-01 
 
 11    0    4.6484e-03   9.3438e-01  8.7122e-01 
 
 12    0    1.4732e-03   9.8520e-01  9.6708e-01 
 
 13    0    7.3474e-04   9.7885e-01  9.5645e-01 
 
 14    0    4.3956e-04   1.0142e+00  1.0270e+00 
 
 15    0    1.1126e-05   9.9955e-01  9.9877e-01 
 
 16    0    4.3066e-07   9.9986e-01  9.9965e-01 
 
 17    0    3.9807e-10   9.9998e-01  9.9996e-01 
 
 18    0    2.7768e-12   1.0000e+00  1.0000e+00 
 
 19    0    4.1592e-20   1.0000e+00  1.0000e+00 
 
 20    0    2.5694e-26   1.0000e+00  1.0000e+00 
 
The minimum function value of 0.0 occurs at iteration 20.
