Bought,Spender Type,Sex,Age
0,3,0,56
1,2,1,61
0,1,0,83
0,3,0,50
0,1,1,61
1,3,1,40
0,3,1,81
1,2,1,16
1,1,1,84
1,1,0,22
0,3,0,52
0,1,1,70
0,1,0,28
0,3,0,76
1,1,1,90
1,1,1,43
0,3,0,26
1,1,0,80
1,1,1,91
0,1,0,75
1,2,1,94
0,3,0,34
0,3,0,78
0,2,0,61
0,2,0,26
0,1,0,26
1,3,1,62
1,3,1,45
1,1,1,52
1,3,1,44
1,3,0,86
0,1,0,74
0,3,0,82
0,2,0,73
0,1,1,66
1,1,1,95
1,1,1,41
0,1,0,84
0,1,1,36
1,3,1,33
0,2,1,72
0,3,1,52
1,2,1,79
1,1,1,27
0,3,0,77
0,3,0,44
1,3,1,63
1,3,1,78
0,2,0,38
0,3,0,34
1,3,1,57
0,1,0,59
0,3,0,27
1,2,1,36
1,1,1,47
0,2,0,47
0,2,0,68
0,3,0,19
1,3,0,17
0,3,0,46
1,2,1,71
0,1,0,22
0,1,0,79
0,1,0,29
1,1,0,41
1,3,1,67
0,1,0,94
1,2,1,79
0,1,0,30
0,1,0,31
0,2,1,57
0,1,0,74
0,1,0,86
1,3,0,79
0,2,0,28
0,1,0,58
0,1,0,62
1,1,0,45
1,2,1,88
0,3,0,76
1,1,0,40
1,2,1,87
0,3,0,80
1,3,1,93
1,2,1,21
0,1,0,79
0,1,0,43
1,3,1,73
0,2,0,71
0,3,0,64
0,2,0,22
0,2,0,51
0,2,0,30
0,3,0,60
0,3,0,43
0,2,0,89
1,1,0,79
1,2,1,50
0,3,0,35
0,3,1,38
0,3,0,65
0,2,0,52
0,2,0,20
0,1,0,48
0,1,0,85
1,3,1,70
1,1,0,37
0,1,0,24
1,3,1,37
0,2,0,15
0,2,1,25
0,1,0,37
0,1,1,57
0,1,1,35
0,3,0,87
0,3,0,27
0,1,0,45
0,3,0,61
0,3,1,15
0,1,0,67
0,2,0,55
0,1,0,90
1,3,1,67
0,3,0,79
1,2,0,76
0,3,0,57
1,2,0,32
1,2,1,22
0,2,0,75
0,2,0,51
0,1,0,95
0,2,1,67
1,2,1,85
0,3,0,46
0,2,0,38
1,1,1,48
0,1,0,31
0,1,0,40
0,2,0,94
0,3,1,66
1,3,1,73
1,1,1,50
0,3,0,24
0,2,0,21
0,1,0,15
1,3,0,19
0,1,1,68
0,3,0,18
0,1,0,24
0,3,0,67
1,2,1,20
0,3,0,66
0,3,0,28
0,3,0,68
0,3,0,56
1,1,1,62
0,2,0,85
0,2,0,47
0,2,0,37
0,2,0,91
1,3,1,92
0,1,0,36
0,3,0,52
0,1,0,73
1,2,0,71
1,3,1,59
0,3,1,69
0,3,0,23
0,2,0,50
0,1,0,28
0,1,0,28
1,2,1,95
0,3,0,20
0,2,0,92
0,1,0,77
0,2,0,38
0,2,1,87
0,1,0,93
0,2,0,87
0,1,1,95
0,3,0,33
0,3,0,39
1,2,0,46
1,2,1,92
0,1,0,31
1,3,1,44
1,2,0,88
0,2,0,36
0,3,0,31
1,1,1,88
0,1,0,71
1,2,1,33
1,3,0,37
1,1,1,77
1,1,1,41
0,2,0,41
0,1,0,45
1,2,1,95
0,3,1,32
0,2,0,26
0,3,0,33
0,2,0,93
0,2,0,81
1,1,0,44
0,3,1,19
0,1,0,38
1,3,0,85
1,3,1,46
1,3,0,80
0,2,0,34
1,1,1,72
0,3,0,63
0,2,0,26
0,2,0,34
1,2,1,19
1,1,1,55
0,1,0,36
1,3,1,16
0,1,0,30
1,1,0,38
0,2,0,66
0,1,0,29
0,2,0,40
1,2,0,71
0,1,0,74
1,1,0,66
0,3,0,79
0,3,0,67
0,2,1,87
1,3,1,94
0,2,0,25
0,2,0,85
1,3,1,74
0,1,0,89
0,3,1,45
0,1,0,49
1,1,1,55
0,1,0,33
0,2,0,94
0,2,1,47
1,2,1,57
0,1,0,81
0,2,0,30
0,2,0,82
0,2,0,59
0,1,1,19
1,1,1,68
1,2,0,74
0,1,0,31
0,2,0,87
0,3,1,77
0,2,0,92
0,1,0,49
0,3,1,88
1,3,1,37
1,1,1,94
1,1,1,83
1,2,1,83
1,3,1,82
1,3,0,15
0,2,0,53
0,1,0,18
0,1,1,78
0,2,0,92
0,2,0,36
1,2,0,29
1,1,1,41
1,1,1,91
0,1,0,28
1,1,0,55
1,3,1,78
0,2,0,40
1,3,1,91
1,2,1,58
0,3,1,40
0,1,0,44
0,2,0,63
1,2,1,81
0,1,0,85
0,3,0,94
0,3,0,35
1,1,0,69
0,1,0,46
0,1,0,67
1,2,0,61
0,3,0,85
1,1,0,86
1,3,1,66
1,3,1,32
1,2,1,74
0,3,0,71
0,3,1,80
0,2,0,37
0,1,0,41
0,3,0,85
0,2,1,34
1,2,0,29
1,3,1,53
1,2,1,15
1,1,0,55
0,2,0,74
1,3,1,86
0,1,0,55
1,3,0,81
1,3,1,39
1,1,1,70
0,2,0,23
1,2,1,27
1,1,1,34
1,3,1,24
0,3,1,35
0,1,0,89
0,1,0,66
1,3,1,71
1,1,1,58
0,2,0,32
1,2,1,56
1,3,1,69
0,2,0,74
0,1,0,51
1,2,1,39
1,3,1,15
0,3,0,76
1,1,1,80
0,2,0,46
1,1,1,23
1,1,1,83
1,3,1,89
1,3,1,93
0,3,0,30
0,2,0,76
0,3,0,63
1,3,1,25
0,1,0,58
0,1,0,69
1,2,1,31
1,3,0,62
0,2,0,77
1,2,0,94
1,1,1,42
0,3,0,76
0,1,0,23
0,3,0,41
1,1,1,41
1,3,1,36
1,3,1,66
1,2,0,32
0,3,0,61
0,1,0,20
0,1,0,71
0,2,0,21
0,3,0,16
0,3,0,61
0,3,0,32
1,1,1,51
0,2,1,57
1,2,1,21
1,1,1,60
0,3,0,64
0,3,0,87
0,1,1,72
0,3,0,54
0,1,0,30
1,1,1,84
1,1,1,21
0,3,0,68
1,3,1,29
0,3,0,61
0,2,0,37
1,1,0,57
0,1,0,54
0,1,0,37
0,2,0,73
0,2,0,18
0,2,0,85
0,3,0,25
0,2,0,76
0,3,0,35
0,3,0,82
0,3,0,75
1,2,1,60
0,3,0,50
1,1,1,51
1,2,0,60
1,1,0,77
0,3,0,42
1,2,1,66
1,2,1,15
0,1,0,31
0,3,1,89
0,3,0,52
0,3,0,46
1,1,1,68
1,3,0,75
0,3,0,84
0,3,1,68
0,3,0,87
0,2,1,43
0,3,0,51
0,2,0,38
1,1,0,38
0,3,0,31
0,2,1,28
