"SEQN","GENDER","AGE","EDUCATION","MARITAL","PREGNANT"
83732,"Male",62,"College Grad","Married","No"
83733,"Male",53,"High School","Divorced","No"
83734,"Male",78,"High School","Married","No"
83735,"Female",56,"College Grad","Living Partner","No"
83736,"Female",42,"Some College","Divorced","Yes"
83737,"Female",72,"Less than High School","Separated","No"
83741,"Male",22,"Some College","Single","No"
83742,"Female",32,"Some College","Married","No"
83744,"Male",56,"High School","Divorced","No"
83747,"Male",46,"College Grad","Living Partner","No"
83750,"Male",45,"Less than High School","Single","No"
83752,"Female",30,"Some College","Living Partner","No"
83754,"Female",67,"College Grad","Married","No"
83755,"Male",67,"College Grad","Widowed","No"
83757,"Female",57,"Less than High School","Separated","No"
83758,"Male",80,"College Grad","Widowed","No"
83761,"Female",24,"College Grad","Single","No"
83762,"Female",27,"Some College","Single","No"
83767,"Female",54,"Some College","Divorced","No"
83769,"Male",49,"Less than High School","Married","No"
83773,"Female",80,"High School","Widowed","No"
83775,"Female",69,"Less than High School","Separated","No"
83776,"Female",58,"College Grad","Married","No"
83777,"Male",56,"Less than High School","Married","No"
83781,"Female",27,"College Grad","Single","No"
83784,"Male",22,"Some College","Single","No"
83785,"Female",60,"College Grad","Divorced","No"
83786,"Male",51,"Some College","Single","No"
83787,"Female",68,"Less than High School","Divorced","No"
83788,"Female",69,"Some College","Married","No"
83789,"Male",66,"College Grad","Living Partner","No"
83790,"Male",56,"Less than High School","Married","No"
83791,"Female",80,"Less than High School","Married","No"
83799,"Female",37,"Some College","Married","No"
83801,"Female",80,"College Grad","Married","No"
83802,"Female",29,"High School","Married","No"
83803,"Male",27,"Some College","Divorced","No"
83809,"Female",20,"High School","Single","No"
83812,"Female",68,"High School","Married","No"
83813,"Male",24,"Some College","Divorced","No"
83816,"Male",27,"Some College","Living Partner","No"
83817,"Male",42,"College Grad","Married","No"
83818,"Female",80,"Less than High School","Widowed","No"
83820,"Male",70,"College Grad","Living Partner","No"
83821,"Male",80,"Less than High School","Widowed","No"
83822,"Female",20,"Some College","Single","No"
83823,"Female",29,"Less than High School","Single","No"
83824,"Male",23,"College Grad","Single","No"
83827,"Male",61,"High School","Married","No"
83828,"Female",39,"High School","Married","No"
83829,"Male",50,"College Grad","Married","No"
83832,"Female",50,"Less than High School","Separated","No"
83834,"Male",69,"High School","Single","No"
83837,"Female",45,"Less than High School","Married","No"
83843,"Male",80,"Some College","Married","No"
83844,"Male",27,"Less than High School","Living Partner","No"
83845,"Female",44,"Less than High School","Single","No"
83846,"Female",41,"Some College","Divorced","No"
83849,"Male",71,"Some College","Married","No"
83851,"Female",37,"High School","Married","No"
83853,"Female",49,"High School","Married","No"
83854,"Female",46,"College Grad","Married","No"
83856,"Male",30,"Some College","Married","No"
83857,"Female",31,"College Grad","Married","No"
83860,"Male",41,"Some College","Married","No"
83861,"Male",80,"College Grad","Divorced","No"
83863,"Male",35,"High School","Married","No"
83865,"Female",21,"Less than High School","Single","No"
83866,"Male",40,"Some College","Single","No"
83869,"Female",67,"College Grad","Divorced","No"
83870,"Male",48,"High School","Married","No"
83871,"Female",30,"Less than High School","Living Partner","No"
83872,"Male",63,"High School","Widowed","No"
83874,"Male",54,"Less than High School","Married","No"
83875,"Female",42,"College Grad","Married","No"
83876,"Female",71,"High School","Divorced","No"
83880,"Female",79,"Less than High School","Married","No"
83881,"Female",32,"College Grad","Married","No"
83883,"Female",80,"Less than High School","Single","No"
83884,"Male",61,"High School","Married","No"
83885,"Female",38,"Some College","Married","No"
83886,"Male",74,"College Grad","Married","No"
83887,"Female",51,"Less than High School","Married","No"
83889,"Male",26,"College Grad","Living Partner","No"
83891,"Female",54,"Some College","Single","No"
83893,"Female",68,"Less than High School","Married","No"
83894,"Male",60,"High School","Married","No"
83895,"Female",80,"High School","Widowed","No"
83897,"Female",29,"College Grad","Living Partner","No"
83898,"Male",55,"Some College","Married","No"
83899,"Male",27,"Less than High School","Married","No"
83900,"Female",52,"College Grad","Divorced","No"
83902,"Male",49,"Some College","Married","No"
83903,"Female",47,"Some College","Married","No"
83904,"Female",80,"Less than High School","Married","No"
83907,"Male",22,"College Grad","Single","No"
83908,"Male",51,"High School","Married","No"
83909,"Female",49,"Some College","Married","No"
83910,"Male",37,"High School","Living Partner","No"
83911,"Female",43,"Some College","Living Partner","No"
83913,"Male",43,"Less than High School","Married","No"
83914,"Female",23,"Some College","Single","Yes"
83915,"Male",71,"Some College","Living Partner","No"
83920,"Female",68,"Less than High School","Married","No"
83924,"Female",48,"Less than High School","Married","No"
83925,"Female",74,"High School","Widowed","No"
83926,"Male",66,"Some College","Married","No"
83927,"Female",66,"College Grad","Married","No"
83928,"Female",62,"High School","Married","No"
83931,"Male",37,"Less than High School","Separated","No"
83932,"Female",80,"Some College","Married","No"
83933,"Female",31,"Less than High School","Living Partner","No"
83934,"Female",27,"High School","Single","No"
83935,"Female",44,"College Grad","Married","No"
83937,"Female",75,"Less than High School","Widowed","No"
83938,"Male",45,"College Grad","Married","No"
83941,"Male",71,"High School","Married","No"
83944,"Male",75,"Some College","Living Partner","No"
83946,"Male",43,"College Grad","Married","No"
83947,"Female",33,"Some College","Married","Yes"
83949,"Female",78,"High School","Widowed","No"
83950,"Male",55,"Less than High School","Divorced","No"
83951,"Male",24,"Less than High School","Single","No"
83953,"Female",46,"College Grad","Married","No"
83954,"Male",53,"High School","Married","No"
83955,"Male",47,"Some College","Married","No"
83958,"Female",47,"High School","Divorced","No"
83959,"Female",22,"Some College","Single","No"
83961,"Female",44,"Some College","Married","No"
83962,"Female",28,"College Grad","Single","No"
83963,"Female",44,"Some College","Divorced","No"
83964,"Female",72,"Less than High School","Married","No"
83965,"Male",49,"Some College","Divorced","No"
83966,"Male",27,"Less than High School","Single","No"
83967,"Male",40,"College Grad","Married","No"
83969,"Female",21,"Some College","Married","No"
83971,"Female",26,"Some College","Married","No"
83973,"Male",63,"College Grad","Married","No"
83975,"Female",65,"High School","Married","No"
83976,"Male",80,"Some College","Widowed","No"
83977,"Female",80,"High School","Married","No"
83982,"Male",25,"College Grad","Single","No"
83983,"Female",71,"College Grad","Married","No"
83985,"Male",55,"College Grad","Divorced","No"
83986,"Male",40,"Some College","Married","No"
83987,"Male",68,"Less than High School","Married","No"
83988,"Male",21,"High School","Single","No"
83989,"Female",37,"Less than High School","Single","No"
83990,"Female",79,"Less than High School","Married","No"
83992,"Male",68,"College Grad","Married","No"
83993,"Female",41,"High School","Living Partner","No"
83994,"Female",60,"College Grad","Married","No"
83995,"Male",43,"Some College","Living Partner","No"
83996,"Female",60,"College Grad","Widowed","No"
83998,"Female",31,"College Grad","Single","No"
83999,"Male",71,"Less than High School","Married","No"
84001,"Female",54,"Some College","Divorced","No"
84002,"Male",48,"Some College","Divorced","No"
84005,"Male",26,"College Grad","Living Partner","No"
84006,"Female",45,"Less than High School","Living Partner","No"
84007,"Female",27,"High School","Single","No"
84008,"Female",62,"High School","Married","No"
84010,"Female",68,"High School","Married","No"
84011,"Male",32,"Some College","Married","No"
84012,"Male",24,"High School","Married","No"
84014,"Male",53,"College Grad","Divorced","No"
84015,"Male",73,"Less than High School","Separated","No"
84016,"Female",41,"College Grad","Married","No"
84018,"Male",27,"College Grad","Single","No"
84019,"Male",54,"High School","Married","No"
84021,"Female",29,"Some College","Married","No"
84022,"Female",60,"Some College","Married","No"
84026,"Male",44,"Some College","Living Partner","No"
84028,"Female",61,"College Grad","Married","No"
84029,"Female",28,"High School","Married","No"
84030,"Male",46,"Less than High School","Married","No"
84032,"Male",51,"Some College","Separated","No"
84033,"Female",41,"Some College","Divorced","No"
84034,"Female",25,"Some College","Living Partner","No"
84036,"Male",36,"College Grad","Married","No"
84037,"Male",66,"College Grad","Married","No"
84038,"Female",23,"College Grad","Living Partner","No"
84039,"Male",36,"Less than High School","Married","No"
84040,"Male",62,"College Grad","Married","No"
84041,"Female",71,"Some College","Married","No"
84042,"Male",75,"Less than High School","Married","No"
84044,"Female",58,"Less than High School","Divorced","No"
84046,"Female",45,"College Grad","Married","No"
84047,"Female",72,"College Grad","Widowed","No"
84050,"Female",79,"College Grad","Married","No"
84051,"Female",55,"College Grad","Single","No"
84055,"Female",64,"College Grad","Married","No"
84058,"Female",21,"Some College","Single","No"
84061,"Female",50,"Some College","Married","No"
84062,"Female",45,"Some College","Married","No"
84065,"Female",48,"Some College","Separated","No"
84068,"Male",59,"Some College","Single","No"
84069,"Female",61,"High School","Single","No"
84070,"Male",40,"Some College","Single","No"
84071,"Female",72,"College Grad","Married","No"
84072,"Female",27,"Some College","Married","Yes"
84073,"Female",39,"High School","Single","No"
84074,"Female",26,"Less than High School","Married","No"
84075,"Male",62,"High School","Divorced","No"
84076,"Male",20,"High School","Single","No"
84077,"Female",46,"High School","Single","No"
84082,"Female",24,"College Grad","Living Partner","No"
84086,"Male",45,"High School","Married","No"
84087,"Male",36,"College Grad","Living Partner","No"
84088,"Female",45,"Some College","Married","No"
84089,"Male",53,"Some College","Widowed","No"
84090,"Female",26,"College Grad","Single","No"
84091,"Female",60,"Some College","Married","No"
84092,"Female",58,"Some College","Married","No"
84094,"Female",73,"College Grad","Married","No"
84095,"Female",61,"College Grad","Married","No"
84098,"Male",26,"High School","Single","No"
84099,"Male",74,"Less than High School","Married","No"
84101,"Male",80,"College Grad","Married","No"
84103,"Male",33,"Some College","Single","No"
84105,"Male",28,"Some College","Living Partner","No"
84106,"Male",57,"College Grad","Married","No"
84107,"Female",60,"Less than High School","Married","No"
84108,"Male",63,"College Grad","Widowed","No"
84109,"Male",66,"College Grad","Married","No"
84110,"Male",28,"Some College","Living Partner","No"
84111,"Male",58,"Some College","Single","No"
84112,"Male",46,"Less than High School","Married","No"
84114,"Male",59,"Less than High School","Divorced","No"
84115,"Male",80,"High School","Married","No"
84118,"Female",72,"Some College","Divorced","No"
84119,"Male",52,"Less than High School","Married","No"
84120,"Male",67,"Some College","Married","No"
84122,"Male",54,"Less than High School","Living Partner","No"
84125,"Female",72,"Some College","Married","No"
84126,"Male",38,"Less than High School","Married","No"
84128,"Female",46,"Some College","Separated","No"
84129,"Male",80,"Less than High School","Married","No"
84130,"Female",26,"High School","Married","No"
84137,"Female",28,"College Grad","Single","No"
84139,"Female",78,"Some College","Widowed","No"
84140,"Female",21,"Some College","Single","No"
84142,"Male",24,"High School","Single","No"
84143,"Female",35,"Less than High School","Single","No"
84147,"Male",78,"Less than High School","Married","No"
84151,"Female",53,"College Grad","Married","No"
84152,"Female",46,"Less than High School","Married","No"
84156,"Female",29,"Some College","Living Partner","No"
84157,"Male",45,"Some College","Single","No"
84160,"Female",45,"College Grad","Divorced","No"
84165,"Male",57,"Less than High School","Married","No"
84166,"Female",67,"College Grad","Married","No"
84167,"Male",46,"Some College","Married","No"
84168,"Male",61,"Less than High School","Married","No"
84169,"Male",43,"Some College","Married","No"
84170,"Male",46,"Some College","Married","No"
84171,"Female",30,"Some College","Married","No"
84172,"Male",20,"Some College","Single","No"
84173,"Male",52,"High School","Married","No"
84174,"Female",54,"Some College","Married","No"
84177,"Male",77,"Less than High School","Divorced","No"
84178,"Male",80,"Less than High School","Married","No"
84180,"Male",33,"Less than High School","Single","No"
84181,"Male",35,"High School","Living Partner","No"
84182,"Female",41,"Less than High School","Married","No"
84183,"Female",80,"Less than High School","Widowed","No"
84184,"Male",58,"Some College","Single","No"
84185,"Male",37,"High School","Divorced","No"
84186,"Male",45,"Some College","Married","No"
84187,"Female",25,"High School","Married","No"
84188,"Female",61,"Less than High School","Single","No"
84189,"Female",62,"Less than High School","Married","No"
84192,"Female",27,"Some College","Married","No"
84194,"Female",58,"High School","Married","No"
84195,"Male",45,"Some College","Separated","No"
84196,"Male",32,"Less than High School","Married","No"
84197,"Male",59,"College Grad","Married","No"
84200,"Female",24,"Some College","Married","Yes"
84201,"Male",78,"Less than High School","Widowed","No"
84203,"Male",21,"College Grad","Single","No"
84205,"Male",51,"High School","Married","No"
84208,"Female",67,"Less than High School","Widowed","No"
84212,"Female",67,"College Grad","Divorced","No"
84216,"Male",65,"College Grad","Married","No"
84217,"Female",59,"Some College","Separated","No"
84218,"Male",56,"Some College","Married","No"
84219,"Male",31,"Less than High School","Married","No"
84220,"Male",36,"Some College","Married","No"
84222,"Male",44,"High School","Married","No"
84224,"Female",56,"High School","Living Partner","No"
84225,"Male",60,"Some College","Married","No"
84226,"Male",64,"High School","Married","No"
84227,"Male",36,"Less than High School","Married","No"
84228,"Male",38,"Less than High School","Single","No"
84229,"Female",43,"Less than High School","Single","No"
84230,"Female",28,"College Grad","Married","No"
84231,"Female",75,"High School","Widowed","No"
84232,"Male",61,"Less than High School","Married","No"
84234,"Female",40,"Less than High School","Single","No"
84235,"Female",47,"Some College","Single","No"
84236,"Male",75,"High School","Widowed","No"
84238,"Female",25,"High School","Single","No"
84239,"Male",74,"College Grad","Married","No"
84241,"Male",50,"Less than High School","Single","No"
84242,"Female",42,"College Grad","Married","No"
84245,"Female",43,"High School","Married","No"
84246,"Female",57,"College Grad","Divorced","No"
84248,"Female",29,"Some College","Living Partner","No"
84251,"Male",20,"Less than High School","Single","No"
84256,"Male",63,"Less than High School","Married","No"
84260,"Male",60,"Less than High School","Married","No"
84264,"Male",61,"College Grad","Married","No"
84265,"Male",76,"Less than High School","Married","No"
84267,"Male",58,"Less than High School","Divorced","No"
84269,"Male",26,"Some College","Living Partner","No"
84271,"Male",67,"College Grad","Married","No"
84273,"Male",63,"Less than High School","Married","No"
84276,"Female",26,"Some College","Single","No"
84277,"Female",28,"Less than High School","Living Partner","Yes"
84279,"Female",56,"High School","Single","No"
84280,"Male",77,"High School","Married","No"
84284,"Female",70,"College Grad","Married","No"
84285,"Female",44,"Some College","Married","No"
84287,"Male",34,"High School","Married","No"
84290,"Male",30,"High School","Living Partner","No"
84291,"Female",36,"High School","Married","No"
84292,"Female",54,"High School","Married","No"
84293,"Male",41,"High School","Married","No"
84294,"Male",23,"Less than High School","Single","No"
84295,"Female",58,"College Grad","Divorced","No"
84298,"Female",36,"College Grad","Married","No"
84299,"Male",51,"Some College","Married","No"
84300,"Female",25,"College Grad","Single","No"
84301,"Male",72,"Less than High School","Married","No"
84302,"Male",74,"High School","Married","No"
84303,"Female",68,"High School","Married","No"
84305,"Female",36,"High School","Single","No"
84308,"Female",41,"College Grad","Married","No"
84309,"Male",66,"Less than High School","Living Partner","No"
84311,"Female",47,"Some College","Divorced","No"
84315,"Male",60,"Some College","Married","No"
84316,"Female",45,"College Grad","Married","No"
84318,"Male",39,"Less than High School","Married","No"
84319,"Female",57,"College Grad","Married","No"
84321,"Female",62,"Some College","Married","No"
84322,"Male",40,"Less than High School","Single","No"
84323,"Female",21,"Some College","Single","No"
84324,"Male",59,"Less than High School","Divorced","No"
84327,"Male",63,"Less than High School","Married","No"
84329,"Male",38,"Less than High School","Living Partner","No"
84332,"Female",62,"Less than High School","Single","No"
84336,"Female",80,"College Grad","Widowed","No"
84338,"Female",50,"Some College","Married","No"
84347,"Female",28,"College Grad","Single","No"
84349,"Female",39,"Some College","Divorced","No"
84353,"Male",54,"Some College","Married","No"
84354,"Male",80,"Some College","Married","No"
84357,"Male",25,"Some College","Single","No"
84359,"Female",72,"Some College","Married","No"
84360,"Male",55,"Some College","Married","No"
84361,"Female",31,"College Grad","Married","Yes"
84363,"Female",36,"Less than High School","Married","No"
84364,"Male",27,"High School","Living Partner","No"
84366,"Female",48,"Less than High School","Separated","No"
84368,"Male",42,"College Grad","Married","No"
84369,"Female",31,"College Grad","Married","No"
84372,"Female",70,"Less than High School","Married","No"
84374,"Female",74,"Less than High School","Married","No"
84375,"Male",60,"Less than High School","Married","No"
84376,"Male",55,"Some College","Single","No"
84377,"Male",70,"High School","Married","No"
84378,"Female",45,"High School","Married","No"
84379,"Male",35,"High School","Married","No"
84380,"Male",35,"Some College","Married","No"
84381,"Male",80,"Less than High School","Widowed","No"
84383,"Female",32,"Some College","Divorced","No"
84384,"Male",34,"College Grad","Married","No"
84388,"Male",65,"Less than High School","Married","No"
84389,"Female",66,"Some College","Married","No"
84390,"Male",33,"High School","Living Partner","No"
84392,"Female",53,"High School","Married","No"
84393,"Male",35,"Some College","Single","No"
84394,"Female",45,"Less than High School","Married","No"
84395,"Female",25,"College Grad","Single","No"
84396,"Female",38,"High School","Married","No"
84398,"Male",38,"High School","Divorced","No"
84400,"Female",60,"Less than High School","Married","No"
84402,"Female",27,"Some College","Married","No"
84403,"Male",61,"College Grad","Married","No"
84404,"Male",31,"Some College","Married","No"
84405,"Male",33,"College Grad","Married","No"
84409,"Female",47,"High School","Divorced","No"
84410,"Female",28,"Less than High School","Separated","No"
84411,"Male",23,"Some College","Single","No"
84412,"Female",25,"Some College","Living Partner","No"
84413,"Male",41,"College Grad","Married","No"
84418,"Male",75,"Less than High School","Married","No"
84419,"Female",35,"College Grad","Married","No"
84420,"Male",27,"Some College","Married","No"
84423,"Male",59,"Some College","Divorced","No"
84424,"Male",69,"College Grad","Divorced","No"
84425,"Female",51,"Some College","Separated","No"
84426,"Male",51,"College Grad","Married","No"
84427,"Male",64,"High School","Married","No"
84429,"Female",45,"Less than High School","Divorced","No"
84431,"Male",46,"Less than High School","Married","No"
84434,"Male",31,"College Grad","Single","No"
84435,"Female",80,"Some College","Widowed","No"
84437,"Female",48,"Some College","Single","No"
84440,"Female",30,"Less than High School","Single","No"
84441,"Female",51,"Some College","Single","No"
84442,"Female",34,"Some College","Living Partner","No"
84443,"Male",64,"Some College","Married","No"
84444,"Female",36,"Some College","Married","No"
84447,"Male",77,"College Grad","Married","No"
84448,"Female",26,"College Grad","Single","No"
84451,"Male",51,"Less than High School","Living Partner","No"
84452,"Female",56,"High School","Divorced","No"
84453,"Male",26,"High School","Married","No"
84454,"Female",60,"College Grad","Separated","No"
84455,"Female",66,"Less than High School","Living Partner","No"
84456,"Female",42,"High School","Married","No"
84459,"Female",31,"College Grad","Single","No"
